BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
6331.78;197.45;0.07;0.08;102.26
6366.72;198.64;0.07;0.08;103.16
6379.97;199.12;0.07;0.08;103.78
6425.44;202.28;0.07;0.08;106.61
6388.19;200.14;0.07;0.08;107.15
6351.06;206.81;0.08;0.08;112.86
6415.44;209.11;0.08;0.08;110.44
6474.85;219.16;0.08;0.09;112.97
6574.8;219.02;0.08;0.08;111.84
6490.45;213.41;0.08;0.1;109.69
6413.78;210.79;0.07;0.09;107.51
6429.9;212.97;0.08;0.1;105.93
6434.28;212.47;0.08;0.1;106.51
6411.35;211.66;0.08;0.09;105.87
6394.29;208.58;0.07;0.09;105.98
5788.61;184.02;0.07;0.09;93.92
5686.54;182.45;0.06;0.08;91.25
5609.96;176.02;0.06;0.09;89.49
5599.19;175.67;0.06;0.07;90.3
5638.86;177.73;0.06;0.06;89.66
4889.2;150.39;0.05;0.07;74.46
4450.71;131.48;0.05;0.06;67.59
4613.45;137.17;0.05;0.06;69.66
4307.39;126.07;0.04;0.05;66.05
4376.9;124.15;0.04;0.05;67.76
3895.84;114.29;0.04;0.05;59.83
4039.84;117.53;0.04;0.05;58.97
3811.92;109.43;0.04;0.06;54.47
3832.92;110.43;0.04;0.06;57.61
4267.24;122.45;0.04;0.06;63.64
4279.48;117.71;0.04;0.06;62.05
4009.69;113.4;0.04;0.06;58.81
4189.57;118.1;0.04;0.07;59.85
4124.59;115.94;0.04;0.07;59.87
3878.84;108.68;0.04;0.06;55.74
3943.69;109.85;0.04;0.05;57.74
3751.69;102.51;0.03;0.06;52.66
3466.76;91.1;0.03;0.06;46.39
3408.52;92.97;0.03;0.06;46.64
3424.71;90.68;0.03;0.06;45.55
3550.55;93.53;0.03;0.05;47.22
3433.81;89.85;0.03;0.05;44.12
3378.81;87.85;0.03;0.05;42.32
3438.1;89.38;0.03;0.04;43.77
3294.64;85.96;0.03;0.04;40.73
3216.63;83.79;0.03;0.05;38.62
3221.98;83.83;0.03;0.05;38.4
3217.05;84.47;0.03;0.05;38.87
3506.22;94.07;0.03;0.05;42.89
3655.78;100.05;0.03;0.05;45.43
3687.75;99.49;0.03;0.05;45.17
4065.1;114.43;0.04;0.06;53.68
3846.23;107.85;0.04;0.06;51.02
3960.57;115.05;0.04;0.06;51.06
3941.62;129.21;0.04;0.05;52.32
4021.99;138.96;0.05;0.05;55.51
3759.18;127.64;0.04;0.04;50.04
3781.61;129.51;0.04;0.05;48.67
3587.7;114.1;0.04;0.05;44.42
3854.42;134.02;0.04;0.05;49.2
3778.19;138.75;0.04;0.04;48.02
3809.73;137.63;0.04;0.05;48.13
3692.53;131.46;0.04;0.05;46.55
3794.26;138.14;0.04;0.04;48.09
3872.17;152.86;0.04;0.05;51.42
3776.53;146.73;0.04;0.04;49.81
3815.27;153.06;0.04;0.05;50.58
3787.31;153.65;0.04;0.04;50.29
4013.52;154.7;0.05;0.04;54.9
3989.67;149.9;0.05;0.05;53.08
3973.59;148.15;0.05;0.04;52.71
3982.23;148.74;0.05;0.04;51.82
3623.85;126.62;0.04;0.04;45.13
3632.85;124.63;0.04;0.04;45.76
3598.44;123.76;0.04;0.04;44.64
3495.83;114.77;0.04;0.04;42.94
3648.05;127.41;0.04;0.04;45.33
3567.8;119.81;0.04;0.04;44.65
3597.65;122.25;0.04;0.04;45.95
3620.98;121.93;0.04;0.04;45
3597.79;119.17;0.04;0.04;44.44
3674.59;122.93;0.05;0.04;45.43
3539.17;117.61;0.04;0.04;43.61
3531;115.83;0.04;0.04;43.65
3571.27;117.82;0.04;0.04;45.25
3555.7;116.42;0.04;0.04;44.53
3565.64;116.25;0.04;0.04;45.06
3564.82;115.15;0.04;0.04;46.03
3563.61;115.34;0.04;0.04;45.11
3553.12;112.51;0.04;0.03;46.11
3432.22;105.35;0.04;0.04;43.1
3413.38;104.6;0.04;0.04;42.78
3457.88;108.27;0.04;0.04;43.6
3431.94;106.34;0.04;0.04;43.04
3464.49;107.01;0.04;0.03;42.82
3486.58;108.78;0.04;0.03;42.31
3454.03;107.2;0.04;0.04;42.5
3464;107.62;0.04;0.03;42.79
3469.89;107.32;0.04;0.03;42.84
3405.84;104.62;0.04;0.04;42.89
3394.01;104.27;0.04;0.04;42.9
3664.28;119.33;0.04;0.04;47.58
3667.41;119.49;0.04;0.04;48.36
3675.69;124.89;0.04;0.04;48.9
3631.44;120.97;0.04;0.04;46.98
3633.97;122.54;0.04;0.03;48.05
3610.06;122.09;0.04;0.03;48.56
3589.66;120.59;0.04;0.04;46.27
3601.23;121.57;0.04;0.04;46.67
3622.59;122.94;0.04;0.04;46.56
3665.08;133.88;0.04;0.04;47.38
3886.52;145.33;0.05;0.04;51.07
3915.01;143.66;0.05;0.04;50.92
